IL_SMILES,Temperature(K),Pressure(mPa),xCO2(mole fraction)
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,303.65,21.5,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,313.35,25.7,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,324.15,31.2,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.85,36.0,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,343.65,41.1,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,353.25,46.6,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,363.15,52.5,0.396
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,302.85,36.0,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,313.35,44.7,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,324.15,54.6,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,334.05,64.8,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,343.55,75.1,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,353.25,85.9,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,363.05,97.7,0.554
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,302.95,46.7,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,313.35,57.7,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,324.15,71.1,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.85,84.5,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,343.85,99.8,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,353.25,115.1,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,362.95,132.4,0.626
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,302.95,60.7,0.712
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,313.25,79.0,0.712
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,323.95,103.4,0.712
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.55,131.7,0.712
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,343.25,163.2,0.712
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,352.85,193.3,0.712
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,362.85,224.2,0.712
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,302.95,107.8,0.778
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,312.95,166.6,0.778
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,323.85,223.3,0.778
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.85,271.6,0.778
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,343.55,312.4,0.778
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,303.15,213.4,0.812
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,313.05,282.6,0.812
CCOn1cc[n+](c1)OCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,322.15,328.6,0.812
CCCCOC(=O)c1ccc[n+](c1)CCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.3,12.0,0.197
CCCCOC(=O)c1ccc[n+](c1)CCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.3,21.9,0.281
CCCCOC(=O)c1ccc[n+](c1)CCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.3,34.4,0.408
CCCCOC(=O)c1ccc[n+](c1)CCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.3,49.9,0.521
CCCCOC(=O)c1ccc[n+](c1)CCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.3,63.3,0.591
CCCCOC(=O)c1ccc[n+](c1)CCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.3,76.8,0.679
CCCCOC(=O)c1ccc[n+](c1)CCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333.3,87.0,0.725
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],296.95,15.0,0.1389
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],304.95,16.0,0.1389
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],312.55,17.0,0.1389
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],322.95,18.5,0.1389
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],332.65,20.0,0.1389
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],342.25,21.5,0.1389
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],297.05,22.5,0.2861
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],304.15,25.0,0.2861
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],313.85,28.5,0.2861
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],323.45,32.0,0.2861
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],333.05,35.5,0.2861
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],343.35,39.5,0.2861
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],297.25,31.0,0.4085
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],304.45,34.5,0.4085
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],313.95,40.0,0.4085
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],323.75,46.0,0.4085
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],334.15,53.0,0.4085
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],343.35,58.5,0.4085
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],297.25,39.0,0.5112
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],304.25,44.5,0.5112
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],314.15,53.0,0.5112
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],323.45,61.0,0.5112
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],332.85,70.0,0.5112
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],342.05,79.5,0.5112
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],297.65,45.5,0.5695
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],304.05,52.0,0.5695
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],313.55,61.5,0.5695
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],322.95,72.5,0.5695
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],333.15,84.5,0.5695
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],341.45,95.5,0.5695
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],298.15,51.0,0.6161
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],303.75,57.5,0.6161
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],313.65,69.5,0.6161
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],323.55,83.0,0.6161
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],332.75,97.0,0.6161
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],342.85,113.0,0.6161
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],297.75,54.0,0.6494
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],305.25,63.5,0.6494
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],312.95,74.0,0.6494
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],323.05,90.5,0.6494
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],332.55,107.5,0.6494
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],342.95,127.5,0.6494
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],297.75,57.0,0.6814
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],305.25,67.5,0.6814
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],312.95,80.5,0.6814
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],321.85,97.5,0.6814
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],331.85,120.5,0.6814
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],341.55,144.0,0.6814
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],297.55,59.5,0.7084
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],304.15,70.0,0.7084
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],313.15,87.5,0.7084
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],322.45,114.0,0.7084
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],331.55,141.5,0.7084
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],343.15,175.5,0.7084
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],297.95,62.5,0.7322
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],303.15,81.5,0.7322
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],312.85,117.0,0.7322
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],322.05,151.5,0.7322
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],331.25,183.5,0.7322
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],341.75,217.5,0.7322
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],299.15,137.0,0.7631
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],303.85,156.0,0.7631
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],312.95,193.5,0.7631
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],322.65,231.5,0.7631
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],332.45,267.5,0.7631
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],342.45,300.5,0.7631
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],299.15,175.5,0.7738
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],302.45,189.0,0.7738
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],313.95,237.0,0.7738
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],322.95,271.5,0.7738
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],332.85,307.5,0.7738
CCCCn1cc[n+](c1)CCCC.S(C)(=O)(=O)[O-],343.15,342.0,0.7738
OCC[NH2+]CCO.C(C)(=O)[O-],298.15,1.25,0.0089
OCC[NH2+]CCO.C(C)(=O)[O-],298.15,3.57,0.0251
OCC[NH2+]CCO.C(C)(=O)[O-],298.15,5.48,0.0391
OCC[NH2+]CCO.C(C)(=O)[O-],298.15,8.49,0.06
OCC[NH2+]CCO.C(C)(=O)[O-],298.15,11.48,0.0822
OCC[NH2+]CCO.C(C)(=O)[O-],298.15,15.15,0.1076
OCC[NH2+]CCO.C(C)(=O)[O-],313.15,1.26,0.0074
OCC[NH2+]CCO.C(C)(=O)[O-],313.15,3.78,0.0231
OCC[NH2+]CCO.C(C)(=O)[O-],313.15,6.15,0.0371
OCC[NH2+]CCO.C(C)(=O)[O-],313.15,9.45,0.0572
OCC[NH2+]CCO.C(C)(=O)[O-],313.15,12.61,0.0761
OCC[NH2+]CCO.C(C)(=O)[O-],313.15,14.94,0.0905
OCC[NH2+]CCO.C(C)(=O)[O-],328.15,1.78,0.0074
OCC[NH2+]CCO.C(C)(=O)[O-],328.15,3.48,0.0146
OCC[NH2+]CCO.C(C)(=O)[O-],328.15,5.48,0.0225
OCC[NH2+]CCO.C(C)(=O)[O-],328.15,8.94,0.0371
OCC[NH2+]CCO.C(C)(=O)[O-],328.15,12.15,0.0502
OCC[NH2+]CCO.C(C)(=O)[O-],328.15,15.05,0.0626
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],298.15,1.24,0.0069
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],298.15,3.46,0.0192
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],298.15,6.48,0.0361
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],298.15,9.48,0.0529
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],298.15,12.45,0.0691
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],298.15,15.12,0.0835
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],313.15,1.21,0.0054
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],313.15,3.48,0.0158
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],313.15,7.48,0.0342
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],313.15,10.59,0.0484
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],313.15,13.15,0.0601
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],313.15,15.98,0.0738
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],328.15,1.69,0.0035
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],328.15,3.48,0.0071
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],328.15,7.46,0.015
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],328.15,10.56,0.0211
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],328.15,12.12,0.0238
OCC[NH2+]CCO.C([C@@H](O)C)(=O)[O-],328.15,15.06,0.0284
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],283.1,0.1,0.192
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],283.1,0.5,0.273
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],283.1,1.0,0.307
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],283.1,4.0,0.357
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],283.1,6.99,0.393
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,0.1,0.188
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,0.5,0.252
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,1.0,0.274
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,4.0,0.324
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,7.0,0.355
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,10.0,0.381
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,15.0,0.42
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,19.99,0.455
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.2,13.0,0.405
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.1,0.1,0.108
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.1,0.5,0.176
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.1,1.0,0.204
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.1,4.0,0.263
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.1,10.0,0.315
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.1,13.0,0.334
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.1,15.0,0.346
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.2,7.0,0.292
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.2,19.99,0.373
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],348.1,0.1,0.063
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],348.1,0.51,0.129
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],348.1,1.0,0.161
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],348.1,4.0,0.226
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],348.1,6.99,0.253
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],348.1,10.0,0.272
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],348.1,12.99,0.287
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],348.1,15.0,0.294
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],348.2,19.99,0.316
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,0.1,0.162
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.0,0.5,0.251
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.2,1.0,0.275
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,3.99,0.326
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,7.0,0.357
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.1,10.0,0.383
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298.3,13.0,0.406
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.05,2.3,0.201
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],333.07,3.55,0.201
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],343.18,6.52,0.201
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],353.1,9.71,0.201
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],313.09,4.98,0.251
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],322.96,8.3,0.251
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],333.3,12.75,0.251
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],343.05,16.95,0.251
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],353.2,22.35,0.251
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],313.04,13.98,0.3
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.22,19.23,0.3
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],333.33,25.15,0.3
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],343.1,32.05,0.3
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],352.98,39.8,0.3
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],313.04,25.89,0.351
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],322.83,33.6,0.351
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],333.42,42.88,0.351
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],343.22,52.65,0.351
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],353.22,64.3,0.351
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],313.07,40.9,0.402
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.57,52.72,0.402
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],333.35,65.8,0.402
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],343.16,80.6,0.402
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],353.24,98.5,0.402
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],313.09,57.3,0.45
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.0,73.94,0.45
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],333.27,95.64,0.45
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],343.06,121.88,0.45
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],353.18,152.81,0.45
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],322.98,134.78,0.5
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],333.06,180.51,0.5
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],343.1,229.85,0.5
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],353.13,280.55,0.5
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],313.31,279.65,0.55
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.4,348.65,0.55
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],333.37,418.07,0.55
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],343.25,481.07,0.55
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],353.05,539.04,0.55
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],313.1,673.71,0.599
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],323.09,755.26,0.599
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,303.72,0.18,0.003
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,303.72,0.37,0.0058
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,303.72,0.39,0.0065
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,303.72,0.73,0.0133
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,303.72,0.77,0.0127
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.89,0.18,0.0027
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.89,0.39,0.0054
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.89,0.41,0.0059
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.89,0.76,0.0122
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,324.12,0.19,0.0026
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,324.12,0.4,0.0051
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,324.12,0.42,0.0056
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,324.12,0.78,0.011
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,334.38,0.2,0.0024
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,334.38,0.41,0.0049
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,334.38,0.44,0.0054
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,334.38,0.82,0.0098
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,344.49,0.2,0.0024
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,344.49,0.43,0.0047
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,344.49,0.45,0.0051
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,344.49,0.84,0.0097
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,298.2,12.09,0.1928
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.3,12.74,0.137
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,333.3,14.22,0.0928
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,298.2,22.25,0.3188
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.3,22.05,0.2226
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,333.3,24.56,0.1456
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,298.2,31.83,0.4112
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.3,31.44,0.2863
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,333.3,35.01,0.2045
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,298.2,42.1,0.4902
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.3,41.7,0.3489
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,298.2,51.21,0.5138
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,333.3,48.6,0.266
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.3,52.78,0.4004
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.3,63.17,0.4475
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,333.3,60.96,0.3173
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.3,74.24,0.4826
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,313.3,84.02,0.5289
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,333.3,72.32,0.3765
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,333.3,85.0,0.4483
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,0.05,0.0006
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,0.1,0.0017
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,0.5,0.0089
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,1.0,0.0197
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,2.5,0.0506
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,4.0,0.0831
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,5.5,0.115
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,7.0,0.144
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,8.5,0.171
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,10.0,0.196
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,11.0,0.213
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,12.0,0.228
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,13.0,0.243
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,11.0,0.22
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,9.0,0.19
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,6.0,0.14
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,283.15,5.0,0.117
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,298.15,0.02,0.0005
CCCC[n+]1ccn(c1)C.F[B-](F)(F)F,298.15,0.05,0.0004
